IATA_Code,ICAO_Code,NumOfDest,AirportName,City,State,Latitude,Longitude,Altitude
ABE,KABE,13,Lehigh Valley International Airport,Allentown,PA,40.652099609375,-75.44080352783203,393
ABI,KABI,1,Abilene Regional Airport,Abilene,TX,32.4113006592,-99.68190002440001,1791
ABQ,KABQ,27,Albuquerque International Sunport,Albuquerque,NM,35.040199,-106.609001,5355
ABR,KABR,1,Aberdeen Regional Airport,Aberdeen,SD,45.44910049438477,-98.42179870605469,1302
ABY,KABY,1,Southwest Georgia Regional Airport,Albany,GA,31.535499572753906,-84.19450378417969,197
ACK,KACK,2,Nantucket Memorial Airport,Nantucket,MA,41.25310135,-70.06020355,47
ACT,KACT,2,Waco Regional Airport,Waco,TX,31.61129951477051,-97.23049926757812,516
ACV,KACV,3,California Redwood Coast-Humboldt County Airport,Arcata CA,CA,40.978101,-124.109,221
ACY,KACY,11,Atlantic City International Airport,Atlantic City,NJ,39.45759963989258,-74.57720184326172,75
ADK,PADK,1,Adak Airport,Adak Island,AK,51.87799835205078,-176.64599609375,18
ADQ,PADQ,1,Kodiak Airport,Kodiak,AK,57.75,-152.4940033,78
AEX,KAEX,3,Alexandria International Airport,Alexandria,LA,31.32740020751953,-92.54979705810548,89
AGS,KAGS,8,Augusta Regional At Bush Field,Bush Field,GA,33.36989974975586,-81.9645004272461,144
AKN,PAKN,1,King Salmon Airport,King Salmon,AK,58.67679977,-156.6490021,73
ALB,KALB,25,Albany International Airport,Albany,NY,42.74829864501953,-73.80169677734375,285
ALO,KALO,1,Waterloo Regional Airport,Waterloo,IA,42.55709838867188,-92.40029907226562,873
AMA,KAMA,7,Rick Husband Amarillo International Airport,Amarillo,TX,35.219398,-101.706001,3607
ANC,PANC,32,Ted Stevens Anchorage International Airport,Anchorage,AK,61.174400329589844,-149.99600219726562,152
APN,KAPN,2,Alpena County Regional Airport,Alpena,MI,45.07809829999999,-83.56030273,690
ART,KART,1,Watertown International Airport,Watertown,NY,43.99190139770508,-76.02169799804688,325
ASE,KASE,10,Aspen-Pitkin Co/Sardy Field,Aspen,CO,39.22320175,-106.8690033,7820
ATL,KATL,173,Hartsfield Jackson Atlanta International Airport,Atlanta,GA,33.6367,-84.428101,1026
ATW,KATW,9,Appleton International Airport,Appleton,WI,44.258098602299995,-88.51909637450001,918
ATY,KATY,3,Watertown Regional Airport,Watertown,SD,44.91400146,-97.15470123,1749
AUS,KAUS,66,Austin Bergstrom International Airport,Austin,TX,30.194499969482425,-97.6698989868164,542
AVL,KAVL,19,Asheville Regional Airport,Asheville,NC,35.43619918823242,-82.54180145263672,2165
AVP,KAVP,9,Wilkes Barre Scranton International Airport,Scranton,PA,41.338500976599995,-75.72339630130001,962
AZA,KIWA,50,Phoenix-Mesa-Gateway Airport,Mesa,AZ,33.30780029,-111.65499879999999,1382
AZO,KAZO,4,Kalamazoo Battle Creek International Airport,Kalamazoo,MI,42.234901428222656,-85.5521011352539,874
BDL,KBDL,30,Bradley International Airport,Windsor Locks,CT,41.9388999939,-72.68319702149999,173
BET,PABE,1,Bethel Airport,Bethel,AK,60.77980042,-161.8379974,126
BFF,KBFF,1,Western Neb. Rgnl/William B. Heilig Airport,Scottsbluff,NE,41.87400055,-103.5960007,3967
BFL,KBFL,5,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,510
BFM,KBFM,2,Mobile Downtown Airport,Mobile,AL,30.626800537100006,-88.06809997559998,26
BGM,KBGM,1,Greater Binghamton/Edwin A Link field,Binghamton,NY,42.20869827,-75.97979736,1636
BGR,KBGR,10,Bangor International Airport,Bangor,ME,44.80739974975586,-68.82810211181639,192
BHM,KBHM,25,Birmingham-Shuttlesworth International Airport,Birmingham,AL,33.56290054,-86.75350189,650
BIL,KBIL,10,Billings Logan International Airport,Billings,MT,45.807701110839844,-108.54299926757812,3652
BIS,KBIS,8,Bismarck Municipal Airport,Bismarck,ND,46.77270126342773,-100.74600219726562,1661
BJI,KBJI,1,Bemidji Regional Airport,Bemidji,MN,47.50939941,-94.93370056,1391
BKG,KBBG,3,Branson Airport,Branson,MO,36.532082,-93.200544,1302
BLI,KBLI,14,Bellingham International Airport,Bellingham,WA,48.79280090332031,-122.53800201416016,170
BLV,KBLV,10,Scott AFB/Midamerica Airport,Belleville,IL,38.5452,-89.835197,459
BMI,KBMI,9,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,40.47710037,-88.91590118,871
BNA,KBNA,72,Nashville International Airport,Nashville,TN,36.1245002746582,-86.6781997680664,599
BOI,KBOI,22,Boise Air Terminal/Gowen Field,Boise,ID,43.5644,-116.223,2871
BOS,KBOS,72,General Edward Lawrence Logan International Airport,Boston,MA,42.36429977,-71.00520325,20
BPT,KBPT,1,Southeast Texas Regional Airport,Beaumont,TX,29.9507999420166,-94.02069854736328,15
BQK,KBQK,1,Brunswick Golden Isles Airport,Brunswick,GA,31.2588005065918,-81.46649932861328,26
BQN,TJBQ,4,Rafael Hernandez Airport,Aguadilla,PR,18.49489974975586,-67.12940216064453,237
BRD,KBRD,2,Brainerd Lakes Regional Airport,Brainerd,MN,46.39830017,-94.13809967,1232
BRO,KBRO,4,Brownsville South Padre Island International Airport,Brownsville,TX,25.90679931640625,-97.4259033203125,22
BRW,PABR,3,Wiley Post Will Rogers Memorial Airport,Barrow,AK,71.285402,-156.766008,44
BTM,KBTM,1,Bert Mooney Airport,Butte,MT,45.95479965209961,-112.49700164794922,5550
BTR,KBTR,7,Baton Rouge Metropolitan Airport,Baton Rouge,LA,30.533199,-91.149597,70
BTV,KBTV,12,Burlington International Airport,Burlington,VT,44.471900939899996,-73.15329742429998,335
BUF,KBUF,28,Buffalo Niagara International Airport,Buffalo,NY,42.94049835,-78.73220062,728
BUR,KBUR,18,Bob Hope Airport,Burbank,CA,34.200698852539055,-118.35900115966795,778
BWI,KBWI,75,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,MD,39.1754,-76.668297,146
BZN,KBZN,17,Gallatin Field,Bozeman,MT,45.77750015,-111.15299990000001,4473
CAE,KCAE,11,Columbia Metropolitan Airport,Columbia,SC,33.93880081176758,-81.11949920654297,236
CAK,KCAK,18,Akron Canton Regional Airport,Akron,OH,40.916099548339844,-81.44219970703125,1228
CDC,KCDC,1,Cedar City Regional Airport,Cedar City,UT,37.70100021362305,-113.0989990234375,5622
CDV,PACV,2,Merle K (Mudhole) Smith Airport,Cordova,AK,60.49179839999999,-145.4779968,54
CEC,KCEC,1,Jack Mc Namara Field Airport,Crescent City,CA,41.78020096,-124.23699950000001,61
CGI,KCGI,3,Cape Girardeau Regional Airport,Cape Girardeau,MO,37.22529983520508,-89.57080078125,342
CHA,KCHA,13,Lovell Field,Chattanooga,TN,35.03530120849609,-85.20379638671875,683
CHO,KCHO,4,Charlottesville Albemarle Airport,Charlottesville VA,VA,38.13859939575195,-78.4529037475586,639
CHS,KCHS,33,Charleston Air Force Base-International Airport,Charleston,SC,32.89860153,-80.04049683,46
CID,KCID,18,The Eastern Iowa Airport,Cedar Rapids,IA,41.88470077514648,-91.71080017089844,869
CIU,KCIU,3,Chippewa County International Airport,Sault Ste Marie,MI,46.25080108642578,-84.47239685058594,800
CKB,KCKB,5,North Central West Virginia Airport,Clarksburg,WV,39.2966003418,-80.2281036377,1217
CLD,KCRQ,1,Mc Clellan-Palomar Airport,Carlsbad,CA,33.12829971,-117.27999879999999,331
CLE,KCLE,55,Cleveland Hopkins International Airport,Cleveland,OH,41.411701202399996,-81.8498001099,791
CLL,KCLL,3,Easterwood Field,College Station,TX,30.58860016,-96.36380005,320
CLT,KCLT,140,Charlotte Douglas International Airport,Charlotte,NC,35.2140007019043,-80.94309997558594,748
CMH,KCMH,43,John Glenn Columbus International Airport,Columbus,OH,39.998001,-82.891899,815
CMI,KCMI,3,University of Illinois Willard Airport,Champaign,IL,40.03919983,-88.27809906,755
CMX,KCMX,1,Houghton County Memorial Airport,Hancock,MI,47.16839981079102,-88.48909759521484,1095
CNY,KCNY,2,Canyonlands Field,Moab,UT,38.75500107,-109.7549973,4557
COD,KCOD,3,Yellowstone Regional Airport,Cody,WY,44.520198822,-109.024002075,5102
COS,KCOS,18,City of Colorado Springs Municipal Airport,Colorado Springs,CO,38.805801,-104.70099599999999,6187
COU,KCOU,3,Columbia Regional Airport,Columbia,MO,38.81809997558594,-92.21959686279295,889
CPR,KCPR,3,Casper-Natrona County International Airport,Casper,WY,42.908001,-106.46399699999999,5350
CRP,KCRP,4,Corpus Christi International Airport,Corpus Christi,TX,27.77039909362793,-97.5011978149414,44
CRW,KCRW,9,Yeager Airport,Charleston,WV,38.37310028076172,-81.59320068359375,981
CSG,KCSG,1,Columbus Metropolitan Airport,Columbus,GA,32.516300201416016,-84.93890380859375,397
CVG,KCVG,63,Cincinnati Northern Kentucky International Airport,Cincinnati,OH,39.0488014221,-84.6678009033,896
CWA,KCWA,4,Central Wisconsin Airport,Wassau,WI,44.7775993347,-89.6668014526,1277
CYS,KCYS,1,Cheyenne Regional Jerry Olson Field,Cheyenne,WY,41.15570068,-104.81199649999999,6159
DAB,KDAB,4,Daytona Beach International Airport,Daytona Beach,FL,29.179899,-81.058098,34
DAL,KDAL,67,Dallas Love Field,Dallas,TX,32.847099,-96.851799,487
DAY,KDAY,21,James M Cox Dayton International Airport,Dayton,OH,39.90240097045898,-84.21939849853516,1009
DBQ,KDBQ,1,Dubuque Regional Airport,Dubuque IA,IA,42.40200043,-90.70950317,1077
DCA,KDCA,94,Ronald Reagan Washington National Airport,Washington,DC,38.8521,-77.037697,15
DEN,KDEN,185,Denver International Airport,Denver,CO,39.861698150635,-104.672996521,5431
DFW,KDFW,186,Dallas Fort Worth International Airport,Dallas-Fort Worth,TX,32.896801,-97.038002,607
DHN,KDHN,1,Dothan Regional Airport,Dothan,AL,31.3213005065918,-85.44960021972656,401
